iter	Passed	Remaining
1272	16597	9478
1273	16609	9464
1274	16620	9451
1275	16632	9437
1276	16643	9423
1277	16655	9409
1278	16667	9396
1279	16681	9383
1280	16695	9371
1281	16707	9357
1282	16719	9343
1283	16731	9330
1284	16744	9316
1285	16755	9302
1286	16767	9289
1287	16779	9275
1288	16790	9261
1289	16802	9247
1290	16813	9233
1291	16825	9219
1292	16836	9206
1293	16849	9192
1294	16861	9179
1295	16872	9165
1296	16883	9151
1297	16896	9138
1298	16907	9124
1299	16919	9110
1300	16931	9097
1301	16943	9083
1302	16956	9070
1303	16968	9056
1304	16985	9046
1305	16997	9032
1306	17009	9018
1307	17020	9004
1308	17032	8990
1309	17044	8977
1310	17056	8964
1311	17068	8950
1312	17080	8937
1313	17092	8923
1314	17104	8910
1315	17116	8896
1316	17128	8882
1317	17140	8869
1318	17152	8855
1319	17163	8841
1320	17176	8828
1321	17188	8815
1322	17199	8801
1323	17211	8787
1324	17223	8774
1325	17235	8760
1326	17247	8746
1327	17259	8733
1328	17271	8720
1329	17282	8706
1330	17294	8692
1331	17306	8679
1332	17318	8665
1333	17329	8651
1334	17341	8638
1335	17354	8625
1336	17366	8611
1337	17378	8598
1338	17391	8585
1339	17404	8572
1340	17417	8559
1341	17429	8546
1342	17444	8534
1343	17457	8520
1344	17470	8508
1345	17483	8495
1346	17496	8481
1347	17509	8468
1348	17521	8455
1349	17534	8442
1350	17546	8429
1351	17559	8416
1352	17572	8403
1353	17585	8390
1354	17598	8377
1355	17611	8363
1356	17623	8350
1357	17636	8337
1358	17649	8324
1359	17663	8312
1360	17676	8299
1361	17688	8285
1362	17701	8272
1363	17713	8259
1364	17727	8246
1365	17739	8233
1366	17752	8220
1367	17764	8207
1368	17778	8194
1369	17791	8181
1370	17805	8168
1371	17818	8156
1372	17831	8142
1373	17842	8129
1374	17854	8115
1375	17867	8102
1376	17880	8089
1377	17893	8076
1378	17906	8063
1379	17919	8050
1380	17932	8037
1381	17945	8025
1382	17959	8012
1383	17971	7998
1384	17984	7985
1385	17996	7972
1386	18008	7958
1387	18020	7945
1388	18033	7932
1389	18045	7919
1390	18057	7905
1391	18070	7892
1392	18082	7879
1393	18095	7866
1394	18108	7853
1395	18122	7840
1396	18134	7827
1397	18147	7814
1398	18160	7801
1399	18173	7788
1400	18185	7775
1401	18197	7761
1402	18209	7748
1403	18222	7735
1404	18234	7722
1405	18246	7708
1406	18258	7695
1407	18271	7682
1408	18284	7669
1409	18296	7655
1410	18308	7642
1411	18321	7629
1412	18333	7616
1413	18346	7603
1414	18358	7590
1415	18371	7576
1416	18382	7563
1417	18395	7550
1418	18408	7537
1419	18420	7523
1420	18433	7510
1421	18445	7497
1422	18458	7484
1423	18470	7471
1424	18484	7458
1425	18496	7445
1426	18508	7431
1427	18520	7418
1428	18532	7405
1429	18544	7391
1430	18557	7378
1431	18570	7366
1432	18582	7352
1433	18595	7339
1434	18608	7326
1435	18620	7313
1436	18631	7299
1437	18643	7286
1438	18655	7272
1439	18667	7259
1440	18679	7246
1441	18691	7233
1442	18704	7220
1443	18717	7206
1444	18729	7193
1445	18741	7180
1446	18752	7166
1447	18765	7153
1448	18776	7139
1449	18788	7126
1450	18800	7113
1451	18813	7100
1452	18826	7087
1453	18838	7074
1454	18851	7061
1455	18863	7047
1456	18875	7034
1457	18888	7021
1458	18899	7007
1459	18911	6994
1460	18922	6980
1461	18934	6967
1462	18947	6954
1463	18958	6941
1464	18970	6927
1465	18982	6914
1466	18994	6901
1467	19005	6887
1468	19017	6874
1469	19029	6861
1470	19042	6848
1471	19055	6835
1472	19067	6822
1473	19081	6809
1474	19093	6796
1475	19105	6782
1476	19126	6772
1477	19146	6762
1478	19161	6750
1479	19177	6738
1480	19190	6725
1481	19202	6711
1482	19215	6698
1483	19227	6685
1484	19239	6672
1485	19251	6658
1486	19263	6645
1487	19275	6632
1488	19286	6618
1489	19298	6605
1490	19310	6592
1491	19323	6579
1492	19335	6565
1493	19346	6552
1494	19358	6539
1495	19370	6526
1496	19381	6512
1497	19394	6499
1498	19406	6486
